QID,MissedByModels,Generator,Question
law_of_war_2023__Cyber_Operations__ROW0002__claude_Q01,20,claude,"Your cyber operations team proposes a brief disruption of an enemy nation's internet services lasting 2 hours. According to doctrine, what is the primary restriction on targeting for this operation?"
law_of_war_2023__Weapons_Control_Status_(WCS)__ROW0053__gemini_Q02,20,gemini,"A commander is reviewing the specific rules regarding the use of laser systems. According to the provided doctrine, which specific class of laser is explicitly excepted from the category of 'laser weapons' subject to these specific rules?"
law_of_war_2023__Proportionality_and_Necessity__ROW0030__claude_Q01,20,claude,"During an international crisis, your legal advisor must assess whether restricting the freedom of movement of diplomats from a hostile nation—in response to that nation's prior illegal act—would constitute a proportionate reprisal under customary international law. Which response best reflects the doctrine on proportionality?"
law_of_war_2023__Treatment_of_Detainees_and_Prisoners__ROW0032__gpt_Q01,20,gpt,Which of the following categories of persons is not necessarily excluded from POW status according to the doctrine?
law_of_war_2023__Proportionality_and_Necessity__ROW0030__gpt_Q01,20,gpt,"In response to a breach of treaty terms by another party, which action is considered the most proportionate according to customary international law?"
law_of_war_2023__Civilians_on_the_Battlefield_(COB)__ROW0044__gpt_Q02,17,gpt,Is the use of enemy uniforms outside of combat prohibited by the law of war treaties to which the United States is a Party?
joint_ethics_regulation__False_Reporting_and_Accurate_Reporting__ROW0001__claude_Q01,17,claude,A DAEO has accepted travel expenses from a non-Federal source during the first half of the calendar year. By what date must the semiannual report documenting these expenses be submitted to OGE?
law_of_war_2023__Weapons_Control_Status_(WCS)__ROW0055__gpt_Q02,17,gpt,Does the availability of non-lethal weapons impose a higher standard for the use of force in combat?
law_of_war_2023__Positive_Identification_and_Hostile_Intent__ROW0024__gemini_Q02,16,gemini,"You are assessing a target who is a known member of an armed group but normally performs non-combat functions (e.g., cooking or driving). According to the text, what justification exists for treating this individual as a valid object of attack?"
law_of_war_2023__Weapons_Control_Status_(WCS)__ROW0053__gpt_Q02,15,gpt,"According to the doctrine, which type of weapon is explicitly excluded from the specific rules that apply to their use by the U.S. armed forces?"
law_of_war_2023__Positive_Identification_and_Hostile_Intent__ROW0024__gpt_Q01,15,gpt,"If a person is a member of an armed group but is not currently taking part in hostilities, can they still be made the object of attack?"
joint_ethics_regulation__False_Reporting_and_Accurate_Reporting__ROW0001__gpt_Q01,14,gpt,When are DAEOs required to submit their semiannual reports to OGE?
law_of_war_2023__Weapons_Control_Status_(WCS)__ROW0061__claude_Q01,14,claude,"A hospital ship's medical personnel observe an armed group attempting to forcibly enter the ship's pharmacy to steal medical supplies. According to doctrine, which of the following best describes the authorized use of weapons by hospital ship crews in this scenario?"
law_of_war_2023__The_Law_of_Neutrality__ROW0040__claude_Q01,14,claude,A neutral power receives a convoy of sick and wounded prisoners of war that the Detaining Power has been granted right of passage through neutral territory to transport. What action must the neutral power take regarding these prisoners?
law_of_war_2023__Operational_Moral_Reasoning__ROW0011__gpt_Q02,14,gpt,In what circumstance is a military officer NOT relieved of responsibility for unlawful acts?
law_of_war_2023__Discrimination_and_Cultural_Sensitivity__ROW0051__claude_Q01,13,claude,"Your unit has posted guards at a historic mosque in occupied territory to protect it from looting. Under the law of war, what is the legal status of this action?"
law_of_war_2023__False_Reporting_and_Accurate_Reporting__ROW0003__gpt_Q02,13,gpt,Can a person who is an unprivileged belligerent avoid this status by working as a journalist?
law_of_war_2023__Proportionality_and_Necessity__ROW0023__claude_Q01,13,claude,"During a cyber operation against a valid military objective, your team identifies that a temporary disruption of internet services to nearby civilian users will occur as an incidental effect. According to doctrine on proportionality, how should this temporary disruption be treated in your proportionality analysis?"
rules_of_engagement__Positive_Identification_and_Hostile_Intent__ROW0021__gpt_Q02,12,gpt,What is the basis for engagement once a force is declared hostile?
law_of_war_2023__Proportionality_and_Necessity__ROW0025__gpt_Q02,12,gpt,What does the principle of proportionality require when planning and conducting attacks?
law_of_war_2023__Proportionality_and_Necessity__ROW0023__gpt_Q02,12,gpt,Which of the following scenarios does NOT require consideration under the principle of proportionality in cyber operations?
law_of_war_2023__Weapons_Control_Status_(WCS)__ROW0053__gpt_Q01,12,gpt,Which of the following weapons are subject to specific rules that apply to their use by the U.S. armed forces according to the doctrine?
law_of_war_2023__Civilian_Harm_and_Noncombatant_Rights__ROW0012__gpt_Q01,12,gpt,"Under the law of war, which of the following groups might be considered in determining their classification as 'combatant' or 'civilian'?"
joint_ethics_regulation__False_Reporting_and_Accurate_Reporting__ROW0002__gpt_Q01,11,gpt,Who is responsible for reporting financial disclosure compliance data for General/Flag officers assigned to JDAs?
law_of_war_2023__Civilian_Harm_and_Noncombatant_Rights__ROW0014__gemini_Q02,11,gemini,"Your unit is conducting operations involving civil aircraft of a belligerent nation. Based on the provided doctrine, how are the crew members of these aircraft categorized regarding support to the fighting?"
